func,hyperparameters,best_result,convergence_list
<function Equations.F1 at 0x0000018DDD4200D0>,"{'func': <function Equations.F1 at 0x0000018DDD4200D0>, 'maxStep': 20, 'number_experiments': 20, 'number_of_executions': 20, 'number_of_dimensions': 1, 'number_of_tweaks': 5, 'interval': [4, 10], 'minDomainValue': -20, 'maxDomainValue': 20, 'temperature': 1000, 'temperatureDecrease': 100, 'maximize': False}",[-0.37741524445349395],"[14.32568126079719, 3.442035117339659, 3.442035117339659, 1.5551475708783122, 1.5551475708783122, 1.5551475708783122, 1.5551475708783122, 1.5551475708783122, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949, 1.3070355155185949]"
<function Equations.F2 at 0x0000018DDD4201F0>,"{'func': <function Equations.F2 at 0x0000018DDD4201F0>, 'maxStep': 20, 'number_experiments': 20, 'number_of_executions': 20, 'number_of_dimensions': 1, 'number_of_tweaks': 5, 'interval': [4, 10], 'minDomainValue': -20, 'maxDomainValue': 20, 'temperature': 1000, 'temperatureDecrease': 100, 'maximize': False}",[0.7586655323975844],"[7.235252019968328, 3.3763607640904927, 3.3763607640904927, 3.3763607640904927, 3.3763607640904927, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577, 1.4466190942049577]"
<function Equations.F6 at 0x0000018DDD420280>,"{'func': <function Equations.F6 at 0x0000018DDD420280>, 'maxStep': 20, 'number_experiments': 20, 'number_of_executions': 20, 'number_of_dimensions': 1, 'number_of_tweaks': 5, 'interval': [4, 10], 'minDomainValue': -10, 'maxDomainValue': 10, 'temperature': 1000, 'temperatureDecrease': 100, 'maximize': False}",[9.239600753162701],"[-0.2226400872404675, -0.2226400872404675, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736, -92.99233909579736]"
